latitude,longitude,rainfall_interpolated,elevation_m,soildepth_m,drainage,permeability,ph,lat_round,lon_round,nearest_rainfall_distance_km,nitrogen_interpolated,nitrogen_distance_km,tmax_interpolated,tmin_interpolated
-35.0547637939,147.3390960693,136.97609352300486,630.0,1.3,5.0,4.0,4.9,-35.05,147.34,6.555593451376959,0.2258425703222526,61.65411524780176,23.046563987955132,9.86789447286338
-35.1670379639,147.5022125244,137.81351673019807,630.0,1.0,4.0,1.0,5.5,-35.17,147.5,4.750268508594287,0.2099266792301401,56.737919585929056,23.077764338356204,9.363770332690754
-35.7391090393,148.1608428955,264.0844584378329,630.0,1.39,6.0,4.0,5.2,-35.74,148.16,17.347865317094865,0.3382140136968693,22.910690591661893,16.012146805715886,4.873902263969461
-35.0539245605,147.3351898193,137.0888888888966,630.0,1.3,5.0,4.0,4.9,-35.05,147.34,6.806391097481368,0.2258596506349061,61.65340193470998,23.07274997908821,9.883297230602393
-35.7765388489,148.2735595703,288.53196333266726,630.0,2.8,4.0,3.0,5.03,-35.78,148.27,17.194630558551868,0.3353543610812798,17.04905960340182,17.046453759944946,4.616110900676224
-35.6162872314,148.1813049316,261.0411575868813,630.0,3.0,5.0,4.0,5.5,-35.62,148.18,22.65421655687813,0.3444905115700422,16.521391590646946,16.04011743100229,4.917757610354049
-35.2206840515,147.5408477783,144.15155165620686,630.0,1.02,4.0,3.0,5.87,-35.22,147.54,11.22084135986882,0.2105258504901193,51.05483559087705,22.809283216664905,9.130364201320798
-35.9249000549,148.2883300781,312.2958896006783,630.0,2.75,6.0,4.0,6.4350000000000005,-35.92,148.29,10.312481224053428,0.5107722812828301,21.60678182960825,18.023251839269022,4.854348185365971
-35.8513031006,148.3275756836,314.2155947891213,630.0,2.3,5.0,3.0,7.0,-35.85,148.33,11.43647437190723,0.4843439293601062,15.479427520482142,17.6617060475805,4.640779590037276
-35.6531410217,148.1516723633,259.9661346701785,630.0,4.02,5.0,3.0,6.5,-35.65,148.15,17.979755605177225,0.3417112453643248,20.189655429046656,15.194948245915908,4.669496434650799
-35.8632240295,148.2759857178,298.25073620752494,630.0,1.26,5.0,3.0,6.0,-35.86,148.28,11.40966080444586,0.430105212890117,21.27124848622207,17.14049107171212,4.5333176297560165
-35.7067718506,148.2676849365,275.03656775007164,630.0,2.03,4.0,3.0,5.5,-35.71,148.27,23.5533959449486,0.3378205692348865,11.446776550865884,17.54418564940011,4.9678447769540295
-35.6567230225,148.1390686035,258.1251432282482,630.0,3.05,6.0,4.0,5.0,-35.66,148.14,16.530621777295767,0.341178718878074,21.639456325375697,15.600217146735606,4.939850064834752
-35.2257118225,147.5635070801,145.95747978649098,630.0,1.05,3.0,1.0,5.5,-35.23,147.56,13.609052343331085,0.2107669636692865,50.82816866036098,22.499204762627244,8.894325780881845
-35.2317657471,147.4649353027,141.41321357082072,630.0,1.0,4.0,3.0,4.74,-35.23,147.46,7.98481234649103,0.2250417104056085,48.85659722276666,22.795818142388118,9.267360770384212
-34.4927101135,148.5042572021,162.9772055748237,630.0,0.9,4.0,3.0,5.15,-34.49,148.5,18.26529047983473,0.136692404622728,20.64245629964868,22.088247542285924,7.549444083879102
-35.2316589355,147.4968566895,142.46657314717152,630.0,1.06,4.0,1.0,5.0,-35.23,147.5,8.944574363524914,0.2101029943047046,49.557210649762695,22.81328474390824,9.204051670870907
-35.7194862366,148.1686248779,264.2799271200969,630.0,3.02,6.0,4.0,4.873333333333333,-35.72,148.17,18.746956289479314,0.3390653530170562,21.06373951390932,15.803345624520393,4.758146768042705
-35.6671485901,148.1300354004,256.7043935500899,630.0,3.03,6.0,4.0,4.746666666666667,-35.67,148.13,15.197456145026749,0.340597379464282,22.87109710113113,15.861401290508617,5.13669110564723
-35.2476043701,147.1716156006,139.5898579439077,630.0,1.0,4.0,3.0,4.62,-35.25,147.17,15.687917859053384,0.2484480181981463,39.16894277649623,22.66989647887704,9.696753470065639
-28.827917099,153.4694976807,573.3398728881767,630.0,1.4,6.0,4.0,5.5,-28.83,153.47,8.787691320888007,0.484795345420137,2.918307132260097,24.644430889610703,15.060545259582046
-34.4743690491,148.2066802979,156.47627142740566,630.0,1.0,5.0,2.0,4.57,-34.47,148.21,17.987678515714606,0.1377827848522961,53.600828432464745,22.097921069244762,7.700032635027061
-35.8210678101,148.3017883301,300.1119792288487,630.0,1.36,5.0,4.0,4.6033333333333335,-35.82,148.3,15.800229527430863,0.4204837647751653,18.57144597839749,17.310950536137582,4.5919245125886325
-35.6494560242,148.1710662842,260.53076899707673,630.0,0.85,5.0,4.0,4.636666666666667,-35.65,148.17,20.14252335992796,0.3426188385218018,17.998468292267496,15.658337986240603,4.805656873012544
-35.2332382202,147.5279846191,144.3023519693241,630.0,0.6,5.0,1.0,4.67,-35.23,147.53,11.092085838041829,0.2104630563379899,49.53561699049607,22.783560749356194,9.127871652157047
-35.0564918518,147.4020080566,135.50658795664674,630.0,2.0,3.0,2.0,6.05,-35.06,147.4,7.551099808223905,0.2255418427096142,63.34181719777076,23.142707426097083,9.751530560952528
-35.9414329529,148.2528686523,296.8692553086342,630.0,1.15,6.0,4.0,5.7,-35.94,148.25,9.304508425604975,0.5097681798374566,25.94836679981159,18.81775965201757,5.2824220868716125
-35.7315444946,148.2388458252,273.469660465649,630.0,3.01,4.0,3.0,5.35,-35.73,148.24,19.806608233280567,0.3372900214989691,15.634754085453796,15.988165205906405,4.4497305813282875
-35.1976470947,147.5487670898,143.20484983922552,630.0,0.75,5.0,1.0,5.0,-35.2,147.55,10.702668103870868,0.2104812677567725,53.6934590017258,22.91782857957907,9.155549770413593
-35.68588144,146.79176371,163.48066676185744,630.0,1.3,3.0,2.0,5.5,-35.69,146.79,46.11322520080136,0.1299999944972721,0.0,22.796325760723356,9.282967573464589
-35.6959266663,148.2408447266,271.0142729695838,630.0,3.0,6.0,4.0,6.0,-35.7,148.24,23.63752917303701,0.3405048878859364,12.860521029982907,16.45939510725668,4.601596184350563
-35.813079834,148.2283477783,282.201400840603,630.0,1.07,5.0,3.0,5.46,-35.81,148.23,11.040244881647729,0.3369960873933913,23.25221756440508,17.229902328181094,4.839674482333593
-35.6798629761,148.0940093994,250.1927011431689,630.0,1.21,6.0,4.0,4.92,-35.68,148.09,10.95812744002274,0.3395161838518042,27.094379308547843,17.302077851534577,5.828923253140831
